Company Name,Company Name URL,Category Groups,Headquarters Location,Description,Crunchbase Rank,Founded Date,Status,Number of Articles,Categories,Number of Founders,Number of Employees,Last Funding Date,Last Funding Amount,Total Funding Amount,Number of Investors,Last Funding Type,Website,Number of Funding Rounds
ReTenant,https://www.crunchbase.com/organization/retenant,"Real Estate, Community and Lifestyle","Tulsa, Oklahoma, United States",The Must Have Communication Tool For Your Community,"46,445",08/01/2012,Closed,,"Communities, SaaS, Real Estate",2,11-50,03/04/2014,"$400,000","$440,000",1,Series A,http://www.retenant.com/,2
Bevalley,https://www.crunchbase.com/organization/bevalley,"Media and Entertainment, Information Technology, Data and Analytics, Software, Internet Services, Design","San Francisco, California, United States",Bevalley is a web-based app to interactively visualize data.,"46,581",03/01/2010,Closed,1,"Software, Data Visualization, Analytics, Business Intelligence, Social Media",,1-10,03/01/2010,"$1,700,000","$1,700,000",1,Series A,http://www.bevalley.com,1
Nexus EnergyHomes,https://www.crunchbase.com/organization/nexus-energyhomes,"Energy, Sustainability, Consumer Electronics, Real Estate","Stevensville, Maryland, United States","Nexus EnergyHomes offers Energyze, a technology used by home designers and builders to create net-zero energy homes.","47,078",01/01/2009,Closed,1,"Energy, CleanTech, Home Automation",,11-50,02/28/2011,"$1,500,000","$1,500,000",,Series A,http://www.nexusenergyhomes.com,1
Transactiv,https://www.crunchbase.com/organization/transactiv,"Sales and Marketing, Advertising","Cincinnati, Ohio, United States",Transactiv is a Cincinnati-based startup dedicated to enabling online commerce for businesses of all sizes.,"47,818",07/01/2009,Closed,3,Advertising,1,11-50,10/13/2009,"$1,200,000","$1,200,000",5,Series A,http://transactiv.com,1
"MedDiary, Inc.",https://www.crunchbase.com/organization/meddiary-inc,"Apps, Software, Health Care, Mobile","Fishers, Indiana, United States","MedDiary is a mobile health as-a-service platform, enabling healthcare providers to prescribe custom mobile health apps as a service.","48,187",01/01/2013,Closed,1,"Apps, Health Care, Mobile",1,1-10,08/25/2014,,"$250,000",,Series A,http://www.meddiary.com,2
SpongeFish,https://www.crunchbase.com/organization/spongefish,"Community and Lifestyle, Internet Services","San Francisco, California, United States",SpongeFish operates an online community that enables users to interact and share knowledge.,"48,223",01/01/2006,Closed,2,"Online Portals, Communities, Knowledge Management",,1-10,03/21/2008,"$2,000,000","$2,000,000",,Series A,http://www.spongefish.com,1
M3X Media,https://www.crunchbase.com/organization/m3x-media,"Media and Entertainment, Music and Audio, Internet Services, Video","West Palm Beach, Florida, United States",M3X Media is a technology company developing open source platforms with social network features for portable and web-based multimedia.,"48,391",01/01/2005,Closed,1,"Video, Social Media, Music",,1-10,02/25/2009,"$10,500,000","$10,500,000",1,Series A,http://www.mthreex.com,1
worldhistoryproject,https://www.crunchbase.com/organization/timelines,"Media and Entertainment, Events, Software","Chicago, Illinois, United States","worldhistoryproject is a crowdsourced website platform that enables people to record, discover, and share history.","48,619",01/19/2007,Closed,4,"Events, Web Development",3,1-10,12/01/2007,"$3,000,000","$3,000,000",2,Series A,http://worldhistoryproject.org,1
MaxxAthlete,https://www.crunchbase.com/organization/maxxathlete,"Commerce and Shopping, Community and Lifestyle, Sports","Manhattan Beach, California, United States",MaxxAthlete is an online media company offering services for the grassroots sports marketplace.,"48,627",01/01/2007,Closed,1,"Sports, Marketplace, Communities",,1-10,03/11/2008,"$3,000,000","$3,000,000",,Series A,http://www.maxxathlete.com,1
MogoTix,https://www.crunchbase.com/organization/mogotix,"Media and Entertainment, Events, Mobile","San Francisco, California, United States",MogoTix enabled small- to medium-sized event organizers to publish custom event websites for selling and distributing mobile tickets.,"49,141",12/01/2009,Closed,7,"Ticketing, Mobile, Events",,1-10,08/03/2010,"$115,000","$115,000",4,Series A,http://www.mogotix.com,1
Campus Connectr,https://www.crunchbase.com/organization/campus-connectr,"Media and Entertainment, Community and Lifestyle, Internet Services","Greenville, South Carolina, United States","Umatch offers CampusConnector and SmartRetention, two cloud-based student engagement platforms.","49,144",01/01/2013,Closed,,"Private Social Networking, Social Media",2,1-10,02/19/2014,"$286,799","$516,799",,Series A,http://www.campusconnectr.com,2
DGP Labs,https://www.crunchbase.com/organization/dgplabs,"Information Technology, Internet Services","New York, New York, United States",DGP Labs provides businesses and individuals with internet-based solutions.,"49,342",01/01/2007,Closed,,"Online Portals, Internet of Things, Information Services",,1-10,11/01/2007,"$4,750,000","$4,750,000",4,Series A,http://www.dgplabs.com,1
BuildMyMove,https://www.crunchbase.com/organization/buildmymove,Transportation,"Overland Park, Kansas, United States",BuildMyMove is a leading provider of interstate moving services and storage solutions.,"49,397",01/01/2010,Closed,,Logistics,,11-50,01/14/2011,"$1,500,000","$1,500,000",1,Series A,http://www.buildmymove.com,1
GleeMaster,https://www.crunchbase.com/organization/gleemaster,"Travel and Tourism, Commerce and Shopping, Community and Lifestyle, Sales and Marketing, Design","San Francisco, California, United States",GleeMaster is an online luxury boutique providing high-end brands.,"49,564",04/01/2010,Closed,,"Travel, Shopping, Fashion, Brand Marketing, Lifestyle",,11-50,03/17/2012,"$2,300,000","$2,300,000",,Series A,http://www.gleemaster.com,1
Gnodal,https://www.crunchbase.com/organization/gnodal,Internet Services,"Palo Alto, California, United States",Gnodal is a computer networking company that designs and sells network switches for datacenter computing and trading environments.,"49,592",03/09/2007,Closed,5,"Web Hosting, Infrastructure",1,51-100,07/21/2009,,"$2,190,000",5,Series A,http://www.gnodal.com,2
Stonybrook Purification,https://www.crunchbase.com/organization/stonybrook-purification,"Natural Resources, Sustainability","East Setauket, New York, United States",Stonybrook Purification develops water purification technologies using a new type of membrane platform.,"49,824",01/01/2007,Closed,1,"Water Purification, Water",,1-10,10/17/2007,"$4,100,000","$4,100,000",4,Series A,http://www.stonybrookpure.com,1
CrowdPC,https://www.crunchbase.com/organization/crowdpc-inc,"Platforms, Hardware, Software, Internet Services, Mobile","Nashville, Tennessee, United States","CrowdPC offers a social commerce platform for managing shared data among employees, management, devices, customers, and the web.","49,995",06/04/2012,Closed,,"Linux, Cloud Computing, Wireless, Software, Web Development, Lighting",1,11-50,05/01/2013,"$600,000","$780,000",1,Series A,http://www.crowdpc.com,2
Fortisphere,https://www.crunchbase.com/organization/fortisphere,"Hardware, Information Technology, Software","Chantilly, Virginia, United States",Fortisphere provides policy-based virtualization management software for virtualized environments.,"50,036",01/01/2006,Closed,,"Virtualization, Software",,11-50,11/19/2007,"$10,000,000","$10,000,000",2,Series A,http://www.fortisphere.com,1
JazzD Markets,https://www.crunchbase.com/organization/jazzd-markets,"Hardware, Information Technology, Internet Services, Messaging and Telecommunications","Ephrata, Pennsylvania, United States","JazzD Markets, an online directory using VoIP technology, provides calling, voice mail messaging through e-mail and more telephony services.","50,040",01/01/2008,Closed,,"VoIP, Telecommunications, Messaging",,10001+,06/01/2008,"$8,000,000","$8,000,000",2,Series A,http://jazzdphone.com,1
Zume Life,https://www.crunchbase.com/organization/zume-life,"Platforms, Software, Health Care, Mobile","San Jose, California, United States",Zume Life provides a health management system to improve the health of people coping with chronic disease.,"50,370",07/25/2006,Closed,1,"iOS, Mobile, Health Care",,1-10,04/01/2008,"$1,000,000","$1,700,000",,Series A,http://www.zumelife.com,2
