,Company ID,Description,Company Name,HQ Post Code,Primary Industry Code,Primary Contact,Year Founded,Active Investors,HQ Location,Growth Rate,Size Multiple,Last Financing Date,Last Financing Size,Last Financing Valuation,Last Financing Deal Type 2 ,Majestic Referring Domains,Facebook Likes,Twitter Followers,Employees,Total Raised,days_since_offer,vc_invest,Twitter_Username
933,166062-97,Provider of an online platform to navigate the college admissions process. The company's platform provides recommendations and helps high school students to build an all-round application to increase their chances of admission into top universities.,Synocate,94305,Educational and Training Services (B2C),Conner Jevning,2009.0,Pear Ventures,"Palo Alto, CA",1.9001804709517343,3.2569995988197906,2016-09-01,0.05,,,226.0,238.0,145.0,7.0,0.05,281,0,cjevning
936,93904-66,Developer of a distribution platform for the broadcasting industry. The company offers help in different aspects of production and distribution of radio programming and advertising.,Synchronicity.co,90066,Media and Information Services (B2B),Robin Solis,2011.0,Scott Davison,"Los Angeles, CA",-0.07610802362532301,0.6076118491372728,2014-11-20,0.3,,,25.0,816.0,192.0,6.0,0.96,932,0,robin_solis
940,155654-47,Owner and operator of a medical device company. The company designs and develops a therapeutic microwave energy device for renal sympathetic denervation to modulate and monitor hyperactive sympathetic nerve signals.,Symple Surgical,94025,Therapeutic Devices,Randy Preston,2012.0,Flinn Foundation,"Menlo Park, CA",0.09830246487852312,0.6264696900290121,2016-03-17,0.03,,,8.0,816.0,368.0,7.0,1.9,449,0,rpreston23
998,169881-85,"Provider of an artificial intelligence platform designed to provide cost reduction ways for clothing retailers. The company's artificial intelligence platform utilizes various data to infer about the cost and savings associated with the clothing market, enabling clothing retailers to predict and prevent returns, avoid associated costs and improve customer experiences.",SupplyAI,94104,Business/Productivity Software,Karthik Sridhar,2015.0,"500 Startups, Alchemist Accelerator","San Francisco, CA",0.11425056737968364,0.8657969449605412,2017-01-19,0.04,,,11.0,1601.0,308.0,7.0,0.04,141,0,AntarYaami
999,118362-61,Developer of a predictive automation software for supply chain management. The company develops predictive automation software that applies machine learning to recognize performance patterns and uses the insights to automate decisions and software workflows.,Supply.AI,94304,Automation/Workflow Software,Karthik Sridhar,2014.0,"500 Startups, Alchemist Accelerator, Supply Chain Ventures","Palo Alto, CA",0.0,0.2972972972972973,2016-04-07,0.02,,,11.0,816.0,425.5,7.0,0.12,428,0,AntarYaami
1018,108829-36,"Provider of an online retail platform for confectionery products. The company provides an online marketplace includes to sell confectionery products includes candies, gourmet marshmallows, whiskey & beer brittle, spirits and liqueurs.",Sugar Knife,94605,Beverages,Jenna Keys,2012.0,,"Oakland, CA",0.011703479660603951,1.7587867712959828,2012-01-01,0.02,,,33.0,3129.0,483.0,2.0,0.46499999999999997,1986,0,keys_jenna
1053,112548-52,"Developer of a cloud storage technology. The comp0any offers on-cloud deduplication software for companies storing large amounts of block data like backups, archives, big data and general file data on AWS S3 or AWS Glacier and helps in reducing cloud storage volume of data and cost.",StorReduce,94086,Database Software,Vanessa Wilson,2014.0,"Andrey Shirben, Ben Kepes, Innovation Bay","Sunnyvale, CA",0.08617856130268357,0.5048098946404032,2015-05-03,0.39,2.43,Seed,6.0,816.0,298.0,4.0,0.39,768,0,vwi1son
1086,93671-20,"Provider of an online startup guide. The company's platform offers an open source startup guide, for its users, with action items to take a startup from idea, to minimum viable product, to traction, and funding. It creates a virtual incubator/accelerator that helps startups to build and grow.",StartitUp,94301,Social/Platform Software,Edward Liu,2013.0,StartupYard,"Palo Alto, CA",2.0660445635374883e-05,0.6772367930621431,2013-03-11,0.01,,,20.0,62.0,549.0,7.0,0.01,1551,0,edliu9466
1099,63596-35,"Developer of performance management technologies. The company provides cloud-based performance management software to track, train and evaluate employees in the retail, hospitality and food service industries.",Staff Ranker,90277,Business/Productivity Software,George Collado,2012.0,"Individual Investor, Pasadena Angels, Richard Chino, Wavemaker Partners","Redondo Beach, CA",0.0,0.3305848221102458,2015-06-22,0.58,,Angel,23.0,816.0,14.0,5.0,0.67,718,0,georgecollado41
1111,110875-42,Developer of a crowd-sourced logistics and on-demand logistics application. The company allows users to find local businesses nearby that will accept delivery of packages and ship packages on their behalf.,Squamtech,94107,Logistics,Marco Buhlmann,2015.0,,"San Francisco, CA",0.0,0.906016399070931,2015-03-31,0.01,,Angel,25.0,816.0,425.5,7.0,0.01,801,0,MBfrisco
1121,57357-73,"Provider of mobile applications for work schedules and assignments. The company offers task collaboration services and helps in developing mobile applications that deliver training, work schedules and assignments for service employees in the commercial aviation, hospitality, janitorial and private security sectors.",Springshot,94107,Human Capital Services,Doug Kreuzkamp,2011.0,Plug and Play Tech Center,"San Francisco, CA",0.0,0.34352572911894946,2014-04-17,2.0,,,18.0,816.0,70.0,16.0,3.6,1149,0,DougKreuzkamp
1128,160126-66,"Arranger of multi-media events for girls and Women. The company arranges theater, visual arts, music, and media events to teach girls social and emotional skills and to make them bold, brave and compassionate young women.",Spotlight: Girls,94609,Education and Training Services (B2B),Lynn Johnson,2006.0,,"Oakland, CA",1.1072182299811208,0.83481945467944,2016-05-16,0.1,,Angel,25.0,1076.0,116.0,7.0,0.13,389,0,lynnjohnson
1130,161563-51,Provide of an online education data analytics platform. The company offers a Web-based educational data analytics platform and application that analyzes and converts education data into narrative text-based reports.,Spotlight Education,95616,Educational and Training Services (B2C),Joshua Newman,2010.0,,"Davis, CA",0.0,0.40540540540540543,2015-09-01,0.25,,Angel,15.0,816.0,425.5,7.0,0.25,647,0,jnewmanmd
1148,66037-78,"Provider of a health and fitness application for women. The company's mobile platform provides four-week training plans, with tools for tracking progress and learning exercises. The app is woman-focused, although useable for men.",Spitfire Athlete,94117,Social/Platform Software,Erin Parker,2012.0,"Right Side Capital Management, Techstars","San Francisco, CA",0.04433806893968156,1.6335847585663354,2014-08-15,0.12,,Seed,25.0,2344.0,805.0,7.0,0.12,1029,0,neverbendeasy
1154,155951-02,Developer of a smart catheter device. The company develops a smart catheter device that alerts patients when their bladder is full via their mobile phone and allows them to empty their bladder with an internal valve.,Spinal Singularity,92672,Therapeutic Devices,Derek Herrera,2015.0,"Knapp Venture Competition, MedTech Innovator, SV Tech Ventures, University of California, Y Combinator","San Clemente, CA",0.0,1.0030347907650783,2016-03-23,0.12,1.71,,68.0,48.0,98.0,7.0,0.27,443,0,DerektheSTUB
1171,93873-61,"Developer and provider of community powered applications. The company offers an application that enables users to interact with people, receive news on several activities and collect data.",Spectafy,94117,Information Services (B2C),Eric Watson,2013.0,Victor Shkulev,"San Francisco, CA",-0.010705791356706774,0.38908239748328177,2014-05-01,0.38,,Seed,22.0,291.0,2.0,6.0,0.38,1135,0,EricWattage
