Place,County,Population,Population Density,Per_capita_income,median_household_income,median_family_income
Cutler,Tulare,"4,224","5,234.2","$6,456","$18,346","$17,629"
Cutten,Humboldt,"3,117","2,408.8","$30,467","$55,080","$71,381"
Cuyama,Santa Barbara,72,158.9,"$10,951","$27,188","$27,917"
Cypress,Orange,"48,748","7,373.8","$33,693","$83,819","$92,166"
Daly City,San Mateo,"103,897","13,599.1","$28,753","$74,489","$83,096"
Dana Point,Orange,"33,861","5,210.2","$51,474","$84,404","$103,457"
Danville,Contra Costa,"42,891","2,372.7","$65,783","$140,616","$157,842"
Daphnedale Park,Modoc,20,15.0,[7,[7,[7
Darwin,Inyo,18,13.4,"$24,089",[7,[7
Davenport,Santa Cruz,303,106.9,"$33,563","$67,031","$78,393"
Davis,Yolo,"66,093","6,687.5","$33,646","$57,454","$110,692"
Day Valley,Santa Cruz,"3,869",209.1,"$39,039","$73,393","$85,438"
Deer Park,Napa,"1,072",192.2,"$53,298","$97,266","$122,361"
Del Aire,Los Angeles,"10,406","10,262.3","$31,248","$79,943","$88,997"
Delano,Kern,"52,883","3,697.3","$10,455","$36,244","$36,684"
Delft Colony,Tulare,164,"2,484.8","$2,685","$8,456","$8,456"
Delhi,Merced,"9,918","2,825.6","$15,121","$46,224","$48,077"
Delleker,Plumas,798,288.5,"$20,945","$30,878","$66,250"
Del Mar,San Diego,"4,242","2,485.1","$87,852","$103,457","$123,938"
Del Monte Forest,Monterey,"6,439",800.5,"$48,338","$102,396","$126,250"
Del Rey,Fresno,"1,489","1,223.5","$9,746","$31,222","$31,065"
Del Rey Oaks,Monterey,"1,727","3,597.9","$41,181","$101,250","$120,417"
Del Rio,Stanislaus,"1,769",970.4,"$50,082","$102,679","$117,730"
Denair,Stanislaus,"4,892","2,469.5","$22,069","$63,136","$68,750"
Derby Acres,Kern,324,90.5,"$26,230","$34,792","$62,813"
Descanso,San Diego,"1,305",67.9,"$30,185","$59,115","$54,167"
Desert Center,Riverside,208,6.8,"$19,180","$55,750","$56,500"
Desert Edge,Riverside,"4,244","1,871.3","$19,756","$30,579","$43,950"
Desert Hot Springs,Riverside,"27,678",916.5,"$14,466","$33,575","$34,850"
Desert Palms,Riverside,"6,776","2,536.9","$46,954","$56,108","$82,035"
Desert Shores,Imperial,"1,039","1,503.6","$11,407","$30,735","$36,111"
Desert View Highlands,Los Angeles,"2,291","5,206.8","$19,362","$62,946","$70,650"
Diablo,Contra Costa,969,714.1,"$113,989","$167,188",[7
